일자,시가,고가,저가,종가,거래량,변화량
20201230,190500,193500,189000,192000,1361340,0.0
20201229,191000,191500,188000,190500,1488327,0.007874015748031496
20201228,189000,193000,187500,189500,2410348,0.005277044854881266
20201224,185000,189000,185000,187000,1061140,0.013368983957219251
20201223,183000,188500,183000,185000,1301433,0.010810810810810811
20201222,186000,186500,183000,184000,1381697,0.005434782608695652
20201221,188500,189000,185000,187000,1120752,-0.016042780748663103
20201218,191000,191000,189000,189000,930831,-0.010582010582010581
20201217,190000,190500,188000,190500,974859,-0.007874015748031496
20201216,190000,193500,189500,190000,1268117,0.002631578947368421
20201215,189000,190500,186000,188500,1355388,0.007957559681697613
20201214,190500,191000,187000,189000,1259459,-0.0026455026455026454
20201211,193000,194500,190000,190000,1644559,-0.005263157894736842
20201210,189000,194000,188000,191500,2187019,-0.007832898172323759
20201209,188000,192000,187000,191500,1805987,0.0
20201208,191000,192000,186000,186500,3181249,0.02680965147453083
20201207,195500,198500,190500,193500,2519339,-0.03617571059431524
20201204,198000,199000,195000,196500,3224702,-0.015267175572519083
20201203,183500,196500,182000,196500,6053809,0.0
20201202,183500,184500,181500,182500,1745795,0.07671232876712329
20201201,183000,184500,179500,183500,1792800,-0.005449591280653951
20201130,181500,188500,181500,181500,3981271,0.011019283746556474
20201127,179000,181000,178000,181000,1033868,0.0027624309392265192
20201126,179500,181000,178000,179000,1260429,0.0111731843575419
20201125,183500,184000,178000,179500,2082764,-0.002785515320334262
20201124,181000,183000,179500,181000,1522580,-0.008287292817679558
20201123,175000,179500,175000,179000,1494870,0.0111731843575419
20201120,179000,179500,177000,177000,1309560,0.011299435028248588
20201119,179000,181500,177500,180000,1379907,-0.016666666666666666
20201118,183500,185500,179000,179500,2228657,0.002785515320334262
20201117,179500,185000,178000,182500,3429139,-0.01643835616438356
20201116,182500,183500,177500,179000,2752922,0.019553072625698324
20201113,174000,178500,173500,177500,2405777,0.008450704225352112
20201112,175500,177000,173000,174000,1965154,0.020114942528735632
20201111,174500,179000,173000,175500,4140745,-0.008547008547008548
20201110,174500,174500,172000,173500,1796342,0.011527377521613832
20201109,172500,174500,172000,172500,1521010,0.005797101449275362
20201106,176500,177000,169500,170500,2233192,0.011730205278592375
20201105,173500,175000,172500,175000,1299430,-0.025714285714285714
20201104,173000,175000,170500,171500,1699252,0.02040816326530612
20201103,171000,172000,169000,170500,1006364,0.005865102639296188
20201102,166000,170500,166000,170500,1052301,0.0
20201030,169000,169500,164500,164500,1452259,0.0364741641337386
20201029,169000,171000,168000,170000,1484537,-0.03235294117647059
20201028,172000,174000,169500,173500,1419988,-0.020172910662824207
20201027,173000,178000,171000,172500,3317704,0.005797101449275362
20201026,167000,174000,164000,171500,3018359,0.0058309037900874635
20201023,163500,168000,163000,167000,1883932,0.02694610778443114
20201022,163000,163500,161000,162500,1700524,0.027692307692307693
20201021,167000,167500,163500,165500,1760669,-0.01812688821752266
20201020,157000,168500,156500,167500,5697398,-0.011940298507462687
20201019,169500,172000,167500,168000,2230634,-0.002976190476190476
20201016,176500,177500,169000,172000,3197258,-0.023255813953488372
20201015,177000,178500,175000,176000,1587551,-0.022727272727272728
20201014,181000,183500,177000,178000,1930046,-0.011235955056179775
20201013,181000,181500,176000,179000,1728432,-0.00558659217877095
20201012,178000,181500,176000,180000,1655359,-0.005555555555555556
20201008,185500,186000,180000,180500,1750474,-0.002770083102493075
20201007,180000,183500,178500,183000,1512423,-0.01366120218579235
20201006,188000,188500,181500,182500,2143171,0.0027397260273972603
20201005,183000,187500,181500,187000,2732820,-0.02406417112299465
20200929,178500,180000,177500,178500,1475249,0.047619047619047616
20200928,173000,176000,172000,175500,1374871,0.017094017094017096
20200925,172500,174000,166000,170000,2076987,0.03235294117647059
20200924,173500,176000,171000,171500,2841908,-0.008746355685131196
20200923,183000,183000,170000,179500,3481682,-0.04456824512534819
20200922,185000,186000,178000,179500,3042046,0.0
20200921,181000,188500,180500,185000,3133848,-0.02972972972972973
20200918,184000,186000,179000,181000,2584103,0.022099447513812154
20200917,185500,191500,183000,184000,4383978,-0.016304347826086956
20200916,179500,186000,177000,183500,3401835,0.0027247956403269754
20200915,184000,185000,178500,179000,2644009,0.025139664804469275
20200914,174500,180000,174000,180000,3145262,-0.005555555555555556
20200911,167500,171500,167500,171500,1538378,0.04956268221574344
20200910,170500,171500,168000,169000,1326177,0.014792899408284023
20200909,166500,172000,165500,167500,1685225,0.008955223880597015
20200908,171000,172500,168000,168000,1933504,-0.002976190476190476
20200907,172500,173000,169000,170000,1516649,-0.011764705882352941
20200904,167500,174000,167500,172500,2886867,-0.014492753623188406
20200903,177500,177500,174000,176500,1841550,-0.0226628895184136
20200902,178000,178500,173500,176000,2825239,0.002840909090909091
20200901,178500,181000,175500,180000,2704194,-0.022222222222222223
20200831,177500,182000,174500,176500,5275614,0.019830028328611898
20200828,165500,176500,164500,172000,5571784,0.02616279069767442
20200827,169000,169500,163500,163500,2427108,0.05198776758409786
20200826,166500,170000,163000,167500,2638394,-0.023880597014925373
20200825,167500,171000,165000,166000,3304089,0.009036144578313253
20200824,157500,163000,152500,161500,2904566,0.02786377708978328
20200821,158000,161500,154000,156000,3348383,0.035256410256410256
20200820,163000,165500,154000,155000,3630223,0.0064516129032258064
20200819,158000,165500,158000,164500,3298626,-0.057750759878419454
20200818,163500,168000,155500,158000,4328953,0.04113924050632911
20200814,171000,172000,161000,167000,4469158,-0.05389221556886228
20200813,175000,177500,167000,170000,3997431,-0.01764705882352941
20200812,174000,178500,170500,172000,4877139,-0.011627906976744186
20200811,171500,180500,164500,179000,6776406,-0.03910614525139665
20200810,151500,172500,151000,170000,8460795,0.052941176470588235
20200807,145500,149500,144500,147000,3208082,0.1564625850340136
20200806,136500,146000,136000,144500,4040334,0.01730103806228374
20200805,133000,135500,132000,134000,1859551,0.07835820895522388
20200804,129500,134000,129000,132500,2492506,0.011320754716981131
20200803,126500,128500,123500,127000,1868315,0.04330708661417323
20200731,128000,129500,125000,126500,1712713,0.003952569169960474
20200730,127000,130500,126000,127500,2728427,-0.00784313725490196
20200729,122500,125500,120000,125000,1897616,0.02
20200728,124500,126000,122000,123000,1765179,0.016260162601626018
20200727,122500,126500,122000,123500,2046059,-0.004048582995951417
20200724,123500,129000,121500,122500,3908721,0.00816326530612245
20200723,118500,125500,116000,124500,4505464,-0.01606425702811245
20200722,122000,124000,118500,118500,2395083,0.05063291139240506
20200721,122000,124500,118000,121500,3138553,-0.024691358024691357
20200720,119500,125000,118000,121500,4461527,0.0
20200717,109500,119000,109500,117500,4265529,0.03404255319148936
20200716,110500,113000,109000,110000,3254530,0.06818181818181818
20200715,104500,110000,104000,109000,4494730,0.009174311926605505
20200714,101500,102000,99900,101500,1050563,0.07389162561576355
20200713,99200,101500,98500,101500,1376002,0.0
20200710,99400,99500,98000,98300,1099298,0.03255340793489318
20200709,100000,101000,99600,99600,922604,-0.013052208835341365
20200708,99200,101000,99100,99600,859735,0.0
20200707,103000,103500,99200,99200,1379122,0.004032258064516129
20200706,99700,102500,98800,101500,1189877,-0.022660098522167486
20200703,99900,100500,98600,99200,569575,0.023185483870967742
20200702,98000,99700,98000,99000,730963,0.00202020202020202
20200701,98500,99500,98000,98200,640540,0.008146639511201629
